Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.9575,0.9490615106286748,0.9490615106286747,0.9573740217089971,3.9884979724884033
XGBClassifier,0.915,0.9115784712799638,0.9115784712799637,0.9156060606060606,1.853867530822754
RandomForestClassifier,0.9225,0.9075644504748983,0.9075644504748983,0.9221100635888066,2.116258144378662
LGBMClassifier,0.9075,0.9021370420624152,0.9021370420624151,0.908082645665776,0.9942872524261475
NearestCentroid,0.9225,0.894109000452284,0.894109000452284,0.9208214745357602,0.4803473949432373
Perceptron,0.9025,0.8926390773405699,0.8926390773405699,0.9027733625650864,0.4951467514038086
AdaBoostClassifier,0.905,0.8887381275440978,0.8887381275440976,0.9046210826210828,5.069878816604614
BaggingClassifier,0.895,0.8870420624151967,0.8870420624151968,0.8955723270440251,1.9925448894500732
DecisionTreeClassifier,0.885,0.8661239258254183,0.8661239258254183,0.8845413105413107,0.6454164981842041
PassiveAggressiveClassifier,0.8825,0.858491632745364,0.858491632745364,0.8813966540744738,0.7475345134735107
SGDClassifier,0.84,0.8575305291723202,0.8575305291723203,0.8440747028862478,0.5027639865875244
RidgeClassifierCV,0.8875,0.8545341474445952,0.8545341474445952,0.8850634307777164,1.4286386966705322
LinearDiscriminantAnalysis,0.8825,0.8527250113071009,0.8527250113071009,0.8805602081647825,3.062845468521118
RidgeClassifier,0.8825,0.8527250113071009,0.8527250113071009,0.8805602081647825,0.6949913501739502
BernoulliNB,0.8875,0.8506897331524197,0.8506897331524198,0.8844461434541526,0.6093957424163818
LogisticRegression,0.8825,0.8469583898688376,0.8469583898688376,0.8796378305295122,0.8591411113739014
QuadraticDiscriminantAnalysis,0.8025,0.8449231117141565,0.8449231117141565,0.8083511474883648,1.7161855697631836
ExtraTreeClassifier,0.8525,0.8418701944821347,0.8418701944821347,0.8536718310152845,0.46976661682128906
LinearSVC,0.8575,0.8321460877431026,0.8321460877431026,0.8564778468086937,4.6710734367370605
CalibratedClassifierCV,0.86,0.8224785165083672,0.8224785165083672,0.8567802806934782,19.892106533050537
GaussianNB,0.82,0.7868611488014474,0.7868611488014473,0.8181050445617376,0.49724507331848145
SVC,0.8175,0.7753844414292175,0.7753844414292175,0.8135473432616288,4.388341665267944
NuSVC,0.79,0.7452510176390774,0.7452510176390774,0.7857286255173023,4.984313726425171
KNeighborsClassifier,0.7275,0.5890434192672999,0.5890434192673,0.6573147368525324,0.7036705017089844
LabelSpreading,0.72,0.5757575757575758,0.5757575757575758,0.6410396361273554,1.0048925876617432
LabelPropagation,0.72,0.5757575757575758,0.5757575757575758,0.6410396361273554,1.150299310684204
DummyClassifier,0.67,0.5,0.5,0.5376047904191618,0.40052127838134766
